order-time,product,price,quantity
2019-08-03 20:25:00,Plain Papadum,0.8,2
2019-08-03 20:25:00,King Prawn Balti,12.95,1
2019-08-03 20:25:00,Garlic Naan,2.95,1
2019-08-03 20:25:00,Mushroom Rice,3.95,1
2019-08-03 20:25:00,Paneer Tikka Masala,8.95,1
2019-08-03 20:25:00,Mango Chutney,0.5,1
2019-08-03 20:17:00,Plain Naan,2.6,1
2019-08-03 20:17:00,Mushroom Rice,3.95,1
2019-08-03 20:17:00,Tandoori Chicken (1/4),4.95,1
2019-08-03 20:17:00,Vindaloo - Lamb,7.95,1
2019-08-03 20:17:00,Chapati,1.95,1
2019-08-03 20:17:00,Lamb Tikka,4.95,1
2019-08-03 20:17:00,Saag Paneer,5.95,1
2019-08-03 20:09:00,Aloo Chaat,4.95,1
2019-08-03 20:09:00,Chicken Pakora,5.95,1
2019-08-03 20:09:00,Chicken Chilli Garlic,9.95,1
2019-08-03 20:09:00,Lamb Biryani,9.95,1
2019-08-03 20:09:00,Keema Naan,2.95,1
2019-08-03 20:01:00,Chicken Pakora,5.95,1
2019-08-03 20:01:00,Plain Papadum,0.8,1
2019-08-03 20:01:00,Mango Chutney,0.5,1
2019-08-03 20:01:00,Red Sauce,0.5,1
2019-08-03 20:01:00,Korma - Prawn,9.95,1
2019-08-03 20:01:00,Peshwari Naan,2.95,1
2019-08-03 20:01:00,Pilau Rice,2.95,1
2019-08-03 19:44:00,Chicken Balti,9.95,1
2019-08-03 19:44:00,Special Fried Rice,3.95,2
2019-08-03 19:42:00,Chicken Tikka Masala,8.95,1
2019-08-03 19:42:00,Curry - Lamb,7.95,1
2019-08-03 19:42:00,Pilau Rice,2.95,1
2019-08-03 19:42:00,Peshwari Naan,2.95,1
2019-08-03 19:42:00,Plain Papadum,0.8,1
2019-08-03 19:41:00,Plain Papadum,0.8,2
2019-08-03 19:41:00,Vegetable Rice,3.95,1
2019-08-03 19:41:00,Saag - Prawn,9.95,1
2019-08-03 19:41:00,Tandoori Chicken Masala,8.95,1
2019-08-03 19:29:00,Pilau Rice,2.95,1
2019-08-03 19:29:00,Lamb Tikka Chilli Masala,8.95,1
2019-08-03 19:29:00,Peshwari Naan,2.95,1
2019-08-03 19:29:00,Saag Aloo,5.95,1
2019-08-03 19:28:00,Aloo Gobi,5.95,1
2019-08-03 19:28:00,Bhindi Bhajee,5.95,1
2019-08-03 19:28:00,Saag Paneer,5.95,1
2019-08-03 19:28:00,Mint Sauce,0.5,2
2019-08-03 19:28:00,Chicken Biryani,9.95,1
2019-08-03 19:28:00,Garlic Naan,2.95,1
2019-08-03 19:28:00,Plain Naan,2.6,1
2019-08-03 19:28:00,Tandoori Chicken Masala,8.95,1
2019-08-03 19:26:00,Plain Papadum,0.8,4
2019-08-03 19:26:00,Red Sauce,0.5,2
2019-08-03 19:26:00,Chicken Tikka Masala,8.95,1
2019-08-03 19:26:00,Madras - Chicken Tikka,7.95,1
2019-08-03 19:26:00,Mushroom Rice,3.95,2
2019-08-03 19:26:00,Garlic Naan,2.95,1
2019-08-03 19:26:00,Bombay Aloo,5.95,1
2019-08-03 19:25:00,Onion Bhajee,3.95,1
2019-08-03 19:25:00,Sheek Kebab,4.95,1
2019-08-03 19:25:00,Plain Papadum,0.8,8
2019-08-03 19:25:00,Mango Chutney,0.5,2
2019-08-03 19:25:00,Mint Sauce,0.5,2
2019-08-03 19:25:00,Onion Chutney,0.5,1
2019-08-03 19:25:00,Chicken Tikka (Main),8.95,1
2019-08-03 19:25:00,Korma - Chicken,8.95,1
2019-08-03 19:25:00,Chicken Tikka Masala,8.95,1
2019-08-03 19:25:00,Plain Rice,2.95,1
2019-08-03 19:25:00,Pilau Rice,2.95,1
2019-08-03 19:25:00,Keema Naan,2.95,2
2019-08-03 19:25:00,French Fries,3.95,1
2019-08-03 19:25:00,Chicken Biryani,9.95,1
2019-08-03 19:25:00,Mushroom Rice,3.95,1
2019-08-03 19:16:00,Onion Bhajee,3.95,1
2019-08-03 19:16:00,Korma - Chicken,8.95,1
2019-08-03 19:16:00,Peshwari Naan,2.95,1
2019-08-03 19:16:00,Pilau Rice,2.95,1
2019-08-03 18:37:00,Chicken Tikka (Main),8.95,1
2019-08-03 18:37:00,Chicken Tikka Masala,8.95,1
2019-08-03 18:37:00,Meat Samosa,3.95,1
2019-08-03 18:36:00,Plain Papadum,0.8,2
2019-08-03 18:36:00,Mango Chutney,0.5,1
2019-08-03 18:36:00,Mint Sauce,0.5,1
2019-08-03 18:36:00,Red Sauce,0.5,1
2019-08-03 18:36:00,Keema Rice,3.95,1
2019-08-03 18:36:00,Keema Naan,2.95,1
2019-08-03 18:36:00,Chicken Chilli Garlic,9.95,1
2019-08-03 18:36:00,Lamb Hari Mirch,9.95,1
2019-08-03 18:36:00,Mushroom Bhajee,5.95,1
2019-08-03 18:36:00,Curry - Chicken,7.95,1
2019-08-03 18:36:00,Bombay Aloo,5.95,1
2019-08-03 18:36:00,Plain Naan,2.6,1
2019-08-03 18:36:00,Vegetable Rice,3.95,1
2019-08-03 18:34:00,Chicken Tikka Biryani,10.95,1
2019-08-03 18:34:00,Mixed Starter,5.95,1
2019-08-03 18:32:00,Onion Bhajee,3.95,1
2019-08-03 18:32:00,Chicken Tikka Biryani,10.95,1
2019-08-03 18:32:00,Bhuna - Chicken Tikka,8.95,1
2019-08-03 18:32:00,Mushroom Rice,3.95,1
2019-08-03 18:12:00,Keema Rice,3.95,1
2019-08-03 18:12:00,Madras - Lamb,7.95,1
2019-08-03 18:12:00,Bombay Aloo,5.95,1
2019-08-03 18:00:00,Masala Sauce,3.95,1
2019-08-03 18:00:00,Mushroom Rice,3.95,1
2019-08-03 18:00:00,Bottle Coke,2.95,1
2019-08-03 18:00:00,Peshwari Naan,2.95,1
2019-08-03 18:00:00,Tandoori Mixed Grill,11.95,2
2019-08-03 18:00:00,Plain Papadum,0.8,3
2019-08-03 18:00:00,Mint Sauce,0.5,1
2019-08-03 18:00:00,Mango Chutney,0.5,1
2019-08-03 18:00:00,Korma Sauce,3.95,1
2019-08-03 17:58:00,Pathia - Prawn,9.95,1
2019-08-03 17:58:00,Chicken Biryani,9.95,1
2019-08-03 17:58:00,Peshwari Naan,2.95,2
2019-08-03 17:58:00,Plain Papadum,0.8,1
2019-08-03 17:58:00,Mint Sauce,0.5,1
2019-08-03 17:57:00,Chicken Tikka Jalfrezi,8.95,1
2019-08-03 17:57:00,Bhuna - Lamb,8.95,1
2019-08-03 17:57:00,Special Fried Rice,3.95,2
2019-08-03 17:57:00,Peshwari Naan,2.95,1
2019-08-03 17:57:00,Aloo Gobi,5.95,1
2019-08-03 17:57:00,Chicken Tikka Masala,8.95,1
2019-08-03 17:52:00,Meat Samosa,3.95,1
